Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775233019,2026-04-03T16:16:59Z,FGSBJ,"43.588051,1.500464",0,1,327
1775233162,2026-04-03T16:19:22Z,FGSBJ,"43.587811,1.500384",0,5,327
1775233173,2026-04-03T16:19:33Z,FGSBJ,"43.587536,1.500464",0,7,160
1775233178,2026-04-03T16:19:38Z,FGSBJ,"43.587326,1.500468",0,9,213
1775233189,2026-04-03T16:19:49Z,FGSBJ,"43.586998,1.500129",0,8,165
1775233201,2026-04-03T16:20:01Z,FGSBJ,"43.586533,1.500419",0,0,154
1775233222,2026-04-03T16:20:22Z,FGSBJ,"43.585453,1.501087",0,0,154
1775233232,2026-04-03T16:20:32Z,FGSBJ,"43.585022,1.50135",0,12,154
1775233240,2026-04-03T16:20:40Z,FGSBJ,"43.584602,1.501628",0,11,157
1775233248,2026-04-03T16:20:48Z,FGSBJ,"43.584286,1.501837",0,11,154
1775233388,2026-04-03T16:23:08Z,FGSBJ,"43.583591,1.501857",0,0,154
1775233800,2026-04-03T16:30:00Z,FGSBJ,"43.583508,1.501318",0,0,154
1775233822,2026-04-03T16:30:22Z,FGSBJ,"43.583881,1.501056",0,21,334
1775233829,2026-04-03T16:30:29Z,FGSBJ,"43.584953,1.500353",0,44,334
1775233842,2026-04-03T16:30:42Z,FGSBJ,"43.588535,1.498064",0,66,336
1775233854,2026-04-03T16:30:54Z,FGSBJ,"43.591888,1.496168",300,67,337
1775233856,2026-04-03T16:30:56Z,FGSBJ,"43.592468,1.495801",300,66,336
1775233859,2026-04-03T16:30:59Z,FGSBJ,"43.59333,1.495318",400,58,336
1775233862,2026-04-03T16:31:02Z,FGSBJ,"43.593979,1.494907",400,56,337
1775233864,2026-04-03T16:31:04Z,FGSBJ,"43.594574,1.494588",500,56,337
1775233866,2026-04-03T16:31:06Z,FGSBJ,"43.5951,1.494271",500,57,338
1775233868,2026-04-03T16:31:08Z,FGSBJ,"43.595612,1.49401",500,58,336
1775233871,2026-04-03T16:31:11Z,FGSBJ,"43.596218,1.493617",500,60,334
1775233873,2026-04-03T16:31:13Z,FGSBJ,"43.596775,1.493291",500,66,336
1775233875,2026-04-03T16:31:15Z,FGSBJ,"43.597275,1.492991",500,68,337
1775233877,2026-04-03T16:31:17Z,FGSBJ,"43.598034,1.492571",600,68,336
1775233879,2026-04-03T16:31:19Z,FGSBJ,"43.598499,1.492244",600,70,333
1775233881,2026-04-03T16:31:21Z,FGSBJ,"43.599197,1.491786",600,71,334
1775233883,2026-04-03T16:31:23Z,FGSBJ,"43.599884,1.49133",600,73,336
1775233885,2026-04-03T16:31:25Z,FGSBJ,"43.600594,1.491002",600,74,339
1775233888,2026-04-03T16:31:28Z,FGSBJ,"43.601246,1.490675",700,74,342
1775233890,2026-04-03T16:31:30Z,FGSBJ,"43.601852,1.490436",700,73,343
1775233892,2026-04-03T16:31:32Z,FGSBJ,"43.602631,1.490117",700,72,343
1775233895,2026-04-03T16:31:35Z,FGSBJ,"43.6035,1.489733",700,72,344
1775233897,2026-04-03T16:31:37Z,FGSBJ,"43.604187,1.489478",800,73,341
1775233899,2026-04-03T16:31:39Z,FGSBJ,"43.604877,1.489171",800,74,342
1775233901,2026-04-03T16:31:41Z,FGSBJ,"43.605606,1.488839",800,75,343
1775233903,2026-04-03T16:31:43Z,FGSBJ,"43.606365,1.488582",900,75,343
1775233906,2026-04-03T16:31:46Z,FGSBJ,"43.607018,1.48832",900,75,344
1775233908,2026-04-03T16:31:48Z,FGSBJ,"43.607895,1.488009",1000,74,345
1775233910,2026-04-03T16:31:50Z,FGSBJ,"43.608719,1.487753",1000,70,346
1775233912,2026-04-03T16:31:52Z,FGSBJ,"43.60939,1.487536",1100,68,348
1775233915,2026-04-03T16:31:55Z,FGSBJ,"43.610046,1.48737",1100,65,347
1775233917,2026-04-03T16:31:57Z,FGSBJ,"43.610504,1.487178",1100,64,343
1775233919,2026-04-03T16:31:59Z,FGSBJ,"43.611019,1.486947",1200,64,342
1775233921,2026-04-03T16:32:01Z,FGSBJ,"43.611786,1.486667",1200,66,341
1775233923,2026-04-03T16:32:03Z,FGSBJ,"43.612518,1.486348",1200,70,341
1775233926,2026-04-03T16:32:06Z,FGSBJ,"43.613113,1.486029",1200,71,342
1775233928,2026-04-03T16:32:08Z,FGSBJ,"43.613892,1.485709",1200,71,341
1775233930,2026-04-03T16:32:10Z,FGSBJ,"43.614559,1.485312",1300,71,338
1775233932,2026-04-03T16:32:12Z,FGSBJ,"43.615303,1.48492",1300,72,337
1775233934,2026-04-03T16:32:14Z,FGSBJ,"43.61591,1.484593",1300,73,338
1775233936,2026-04-03T16:32:16Z,FGSBJ,"43.616638,1.484176",1300,73,340
1775233938,2026-04-03T16:32:18Z,FGSBJ,"43.617279,1.483921",1400,73,340
1775233941,2026-04-03T16:32:21Z,FGSBJ,"43.61792,1.483601",1400,71,342
1775233943,2026-04-03T16:32:23Z,FGSBJ,"43.618515,1.483346",1400,72,346
1775233945,2026-04-03T16:32:25Z,FGSBJ,"43.6194,1.483089",1500,74,353
1775233947,2026-04-03T16:32:27Z,FGSBJ,"43.620098,1.483024",1500,78,356
1775233949,2026-04-03T16:32:29Z,FGSBJ,"43.620895,1.483154",1500,80,7
1775233951,2026-04-03T16:32:31Z,FGSBJ,"43.621811,1.483538",1500,85,19
1775233954,2026-04-03T16:32:34Z,FGSBJ,"43.622471,1.483939",1500,89,25
1775233956,2026-04-03T16:32:36Z,FGSBJ,"43.623356,1.484593",1600,91,30
1775233958,2026-04-03T16:32:38Z,FGSBJ,"43.624146,1.485326",1600,95,38
1775233960,2026-04-03T16:32:40Z,FGSBJ,"43.624969,1.486284",1600,99,44
1775233963,2026-04-03T16:32:43Z,FGSBJ,"43.625702,1.487434",1600,100,49
1775233965,2026-04-03T16:32:45Z,FGSBJ,"43.62616,1.488264",1600,100,56
1775233967,2026-04-03T16:32:47Z,FGSBJ,"43.626755,1.489694",1600,101,62
1775233969,2026-04-03T16:32:49Z,FGSBJ,"43.627129,1.490936",1600,101,69
1775233971,2026-04-03T16:32:51Z,FGSBJ,"43.62735,1.492033",1600,102,75
1775233973,2026-04-03T16:32:53Z,FGSBJ,"43.627533,1.493055",1600,102,79
1775233975,2026-04-03T16:32:55Z,FGSBJ,"43.627731,1.494991",1600,102,84
1775233978,2026-04-03T16:32:58Z,FGSBJ,"43.627808,1.496696",1600,102,87
1775233980,2026-04-03T16:33:00Z,FGSBJ,"43.627899,1.498229",1500,102,86
1775233982,2026-04-03T16:33:02Z,FGSBJ,"43.627964,1.499438",1500,102,84
1775233984,2026-04-03T16:33:04Z,FGSBJ,"43.627991,1.500847",1500,104,91
1775233986,2026-04-03T16:33:06Z,FGSBJ,"43.627918,1.502315",1500,104,92
1775233989,2026-04-03T16:33:09Z,FGSBJ,"43.627899,1.503786",1500,103,91
1775233991,2026-04-03T16:33:11Z,FGSBJ,"43.627918,1.505258",1500,103,90
1775233993,2026-04-03T16:33:13Z,FGSBJ,"43.627918,1.506566",1500,102,88
1775233995,2026-04-03T16:33:15Z,FGSBJ,"43.627899,1.508193",1500,100,90
1775233998,2026-04-03T16:33:18Z,FGSBJ,"43.627918,1.509574",1500,99,90
1775234000,2026-04-03T16:33:20Z,FGSBJ,"43.627899,1.510748",1500,98,88
1775234002,2026-04-03T16:33:22Z,FGSBJ,"43.627991,1.512217",1500,98,85
1775234004,2026-04-03T16:33:24Z,FGSBJ,"43.628036,1.513686",1500,97,85
1775234006,2026-04-03T16:33:26Z,FGSBJ,"43.628105,1.515067",1500,96,88
1775234009,2026-04-03T16:33:29Z,FGSBJ,"43.628128,1.516369",1500,94,88
1775234011,2026-04-03T16:33:31Z,FGSBJ,"43.628151,1.517944",1500,94,90
1775234013,2026-04-03T16:33:33Z,FGSBJ,"43.628105,1.519121",1500,93,93
1775234016,2026-04-03T16:33:36Z,FGSBJ,"43.628014,1.520299",1500,93,96
1775234018,2026-04-03T16:33:38Z,FGSBJ,"43.627853,1.521862",1500,94,102
1775234020,2026-04-03T16:33:40Z,FGSBJ,"43.627533,1.523012",1500,94,111
1775234022,2026-04-03T16:33:42Z,FGSBJ,"43.627121,1.524098",1500,94,122
1775234024,2026-04-03T16:33:44Z,FGSBJ,"43.626476,1.525334",1500,94,128
1775234027,2026-04-03T16:33:47Z,FGSBJ,"43.625748,1.526461",1500,93,135
1775234029,2026-04-03T16:33:49Z,FGSBJ,"43.625267,1.527034",1500,94,138
1775234031,2026-04-03T16:33:51Z,FGSBJ,"43.624374,1.528058",1500,94,141
1775234033,2026-04-03T16:33:53Z,FGSBJ,"43.62355,1.528888",1500,93,144
1775234035,2026-04-03T16:33:55Z,FGSBJ,"43.622799,1.52965",1500,92,145
1775234038,2026-04-03T16:33:58Z,FGSBJ,"43.622131,1.530229",1500,93,146
1775234040,2026-04-03T16:34:00Z,FGSBJ,"43.621262,1.530996",1500,91,147
1775234042,2026-04-03T16:34:02Z,FGSBJ,"43.620609,1.531612",1500,91,147
1775234044,2026-04-03T16:34:04Z,FGSBJ,"43.619705,1.532401",1500,91,147
1775234046,2026-04-03T16:34:06Z,FGSBJ,"43.619076,1.532985",1500,91,147
1775234048,2026-04-03T16:34:08Z,FGSBJ,"43.618286,1.533679",1500,93,146
1775234050,2026-04-03T16:34:10Z,FGSBJ,"43.61763,1.534293",1500,93,146
1775234053,2026-04-03T16:34:13Z,FGSBJ,"43.616821,1.534956",1500,92,148
1775234055,2026-04-03T16:34:15Z,FGSBJ,"43.615768,1.53585",1500,92,148
1775234057,2026-04-03T16:34:17Z,FGSBJ,"43.615036,1.536425",1500,91,149
1775234059,2026-04-03T16:34:19Z,FGSBJ,"43.614166,1.537128",1500,91,149
1775234061,2026-04-03T16:34:21Z,FGSBJ,"43.613434,1.537703",1500,90,150
1775234064,2026-04-03T16:34:24Z,FGSBJ,"43.612465,1.538413",1500,89,152
1775234066,2026-04-03T16:34:26Z,FGSBJ,"43.611649,1.53898",1500,89,154
1775234068,2026-04-03T16:34:28Z,FGSBJ,"43.610836,1.539525",1600,90,153
1775234071,2026-04-03T16:34:31Z,FGSBJ,"43.610001,1.540066",1600,91,153
1775234073,2026-04-03T16:34:33Z,FGSBJ,"43.609085,1.540705",1600,93,153
